pointId,trip_id,previous_point,next_point,latitude,longitude,horizontal_accuracy,bearing,bearing_accuracy,elapsed_time,elapsed_time_uncertainty,speed,speed_accuracy,likelihood_score,time delta (s),expected distance,delta Lat (m),exp del lat,delta Long (m),exp del long,expected lat,expected long,lat dif,lon dif,lat dif (m),lon dif (m),error (m),111084.744024676,82079.5722664617
214,3,213,0,42.594175,-83.0880749,14.1079998016357,286.223175048828,286.223175048828,149162822000000,0,0.930171132087708,0,0,1.257,1.16922511303425,-0.2221694883,-1.1226674583,-0.8372116364,0.326657531754324,42.5941649,-83.0880709,-0.0000101,0.0000040,-1.1226675,0.326657531194345,1.1692251128061,,
215,3,214,0,42.5941747,-83.0880846,13.1840000152588,281.102722167969,281.102722167969,149164383000000,0,1.03465735912323,0,0,1.561,1.61510013759136,-0.0333254236,-1.5848711417,-0.7961718515,0.311017553462445,42.5941604,-83.0880808,-0.0000143,0.0000038,-1.5848711,0.311017553542511,1.61510013768406,,
216,3,215,0,42.5941762,-83.0881036,12.0380001068115,271.181945800781,271.181945800781,149165660954729,0,1.06405115127563,0,0,1.277954729,1.35980920067059,0.1666271164,-1.3595198780,-1.5595118726,0.028049304830806,42.5941640,-83.0881033,-0.0000122,0.0000003,-1.3595199,0.028049305404797,1.35980920103334,,
217,3,216,0,42.5941754,-83.0881162,11.9700002670288,278.246124267578,278.246124267578,149166861000000,0,1.37218511104584,0,0,1.200045271,1.64668425344717,-0.0888677955,-1.6296593348,-1.0342026110,0.236176804507749,42.5941607,-83.0881133,-0.0000147,0.0000029,-1.6296593,0.236176804606712,1.64668425372293,,
218,3,217,0,42.5941752,-83.0881278,12.1800003051758,271.899749755859,271.899749755859,149168022000000,0,1.14220368862152,0,0,1.161,1.32609848248959,-0.0222169483,-1.3253696067,-0.9521230378,0.04396124308477,42.5941633,-83.0881273,-0.0000119,0.0000005,-1.3253696,0.043961243415369,1.32609848281777,,
219,3,218,0,42.5941714,-83.0881334,12.2299995422363,270.621368408203,270.621368408203,149169170000000,0,1.05920147895813,0,0,1.148,1.21596329784393,-0.4221220275,-1.2158917924,-0.4596456054,0.01318677177906,42.5941605,-83.0881332,-0.0000109,0.0000002,-1.2158918,0.013186771762031,1.21596329815462,,
220,3,219,0,42.594163,-83.0881396,12.1709995269775,259.124206542969,259.124206542969,149170403000000,0,1.03650188446045,0,0,1.233,1.27800682353974,-0.9331118497,-1.2550519229,-0.5088933482,-0.24113504877739,42.5941517,-83.0881425,-0.0000113,-0.0000029,-1.2550519,-0.241135048630809,1.27800682363401,,
221,3,220,0,42.5941588,-83.0881479,12.4870004653931,262.4072265625,262.4072265625,149171635153581,0,1.04365730285645,0,0,1.232153581,1.28594608305138,-0.4665559248,-1.2746711824,-0.6812604490,-0.169913817515211,42.5941473,-83.0881500,-0.0000115,-0.0000021,-1.2746712,-0.169913817984236,1.28594608310834,,
222,3,221,0,42.5941502,-83.0881643,12.7729997634888,252.527847290039,252.527847290039,149173189000000,0,1.30196940898895,0,0,1.553846419,2.02306050380503,-0.9553287987,-1.9297225395,-1.3461049857,-0.60740820095908,42.5941328,-83.0881717,-0.0000174,-0.0000074,-1.9297225,-0.60740820095711,2.02306050350514,,
223,3,222,0,42.5941363,-83.0881712,12.7259998321533,253.925003051758,253.925003051758,149174190000000,0,1.14371836185455,0,0,1.001,1.1448620802164,-1.5440779418,-1.1000980631,-0.5663490488,-0.317006994126525,42.5941264,-83.0881751,-0.0000099,-0.0000039,-1.1000981,-0.317006994104532,1.14486208046268,,
